level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1073	1324	-1	
2	1	1	0	0	0	6	32	1066	1292	-1	
3	1	1	1	0	0	6	32	1066	144	-1	
4	1	1	1	1	0	43	32	1029	39	-1	
5	1	1	1	1	1	43	43	18	19	96.839195	a
5	1	1	1	1	2	81	32	91	31	86.098694	force
5	1	1	1	1	3	192	33	35	30	96.574348	of
5	1	1	1	1	4	247	33	271	38	96.528679	approximately
5	1	1	1	1	5	540	34	39	29	92.715050	50
5	1	1	1	1	6	600	32	208	31	91.322235	sheet-metal
5	1	1	1	1	7	829	32	243	38	96.830910	straighteners
4	1	1	1	2	0	6	84	1066	39	-1	
5	1	1	1	2	1	6	91	2	2	0.000000	’
5	1	1	1	2	2	43	85	68	30	95.388756	and
5	1	1	1	2	3	133	85	142	38	95.481201	helpers.
5	1	1	1	2	4	324	86	104	30	95.535278	These
5	1	1	1	2	5	451	96	76	20	96.922539	men
5	1	1	1	2	6	551	96	85	20	96.832405	were
5	1	1	1	2	7	661	85	176	38	96.173798	employed
5	1	1	1	2	8	861	84	211	37	96.122856	continually
4	1	1	1	3	0	43	136	1027	40	-1	
5	1	1	1	3	1	43	147	42	20	96.426895	on
5	1	1	1	3	2	102	137	68	31	96.152718	this
5	1	1	1	3	3	186	138	93	30	96.576843	work
5	1	1	1	3	4	297	138	126	38	96.211716	during
5	1	1	1	3	5	440	138	57	30	96.211716	the
5	1	1	1	3	6	515	138	107	30	96.811005	entire
5	1	1	1	3	7	640	138	118	37	95.861679	period
5	1	1	1	3	8	776	137	37	30	95.861679	of
5	1	1	1	3	9	830	136	240	31	94.110176	construction.
3	1	1	2	0	0	43	189	1029	150	-1	
4	1	1	2	1	0	86	189	986	32	-1	
5	1	1	2	1	1	86	189	49	31	96.330276	As
5	1	1	2	1	2	157	190	100	31	95.742592	much
5	1	1	2	1	3	280	190	36	30	96.459869	of
5	1	1	2	1	4	337	190	68	31	95.495461	this
5	1	1	2	1	5	428	190	155	31	96.124496	material
